CustomerID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Country,Spent
1001,1985,Graduation,Single,45000.0,0,1,2024-01-15,India,650
1002,1972,Phd,Married,72000.0,1,1,2024-02-22,India,980
1003,1990,Graduation,Single,38000.0,0,0,2024-03-05,India,420
1004,1982,Master,Married,61000.0,1,0,2024-03-18,India,760
1005,1978,Phd,Divorced,55000.0,0,1,2024-03-27,India,810
1006,1988,Graduation,Single,55000.0,0,0,2024-04-02,India,390
1007,1975,Master,Married,68000.0,1,1,2024-04-14,India,920
1008,1992,Graduation,Single,41000.0,0,0,2024-04-29,India,350
1009,1980,Phd,Married,76000.0,2,1,2024-05-10,India,1100
1010,1986,Master,Single,47000.0,0,1,2024-05-25,India,510
1011,1970,Graduation,Married,59000.0,1,1,2024-06-08,India,730
1012,1989,Phd,Single,52000.0,0,0,2024-06-21,India,640
1013,1983,Graduation,Married,63000.0,1,0,2024-07-03,India,850
1014,1977,Master,Divorced,50000.0,0,1,2024-07-16,India,670
1015,1991,Graduation,Single,36000.0,0,0,2024-07-30,India,310
1016,1984,Phd,Married,82000.0,1,1,2024-08-12,India,1250
1017,1973,Master,Married,64000.0,1,0,2024-08-26,India,780
1018,1987,Graduation,Single,44000.0,0,1,2024-09-09,India,480
1019,1979,Phd,Married,71000.0,1,1,2024-09-23,India,990
1020,1985,Graduation,Single,45000.0,0,1,2024-10-07,India,650
1021,1990,Graduation,Single,39000.0,0,0,2024-10-20,India,400
1022,1981,Master,Married,55000.0,1,0,2024-11-02,India,720
1023,1976,Phd,Divorced,57000.0,0,1,2024-11-15,India,690
1024,1988,Graduation,Single,42000.0,0,0,2024-11-28,India,430
1025,1982,Master,Married,61000.0,1,0,2024-12-10,India,760
1026,1974,Phd,Married,69000.0,1,1,2024-12-24,India,940
1027,1993,Graduation,Single,35000.0,0,0,2025-01-05,India,280
1028,1980,Master,Married,60000.0,1,0,2025-01-19,India,710
1029,1986,Phd,Single,54000.0,0,1,2025-02-01,India,620
